COD_IDCONTRA,COD_PERSONA,FAP_CONTR,IMP_CAPDIS,IMP_CAPINI,IMP_CAPPEN
00000000000000000364843903,73895,14NOV2016,18404.10,18404.10,0.00
00000000000000000367101918,73895,15DEC2016,12100.00,12100.00,0.00
00000000000000000367362494,73895,20DEC2016,10027.04,10027.04,0.00
00000000000000000369390434,73895,20JAN2017,18463.08,18463.08,6154.36
00000000000000000369993878,73895,30JAN2017,14040.84,14040.84,4680.28
00000000000000000370695881,73895,08FEB2017,14264.31,14264.31,9509.54
00000000000000000372063246,73895,28FEB2017,10806.21,10806.21,7204.14
00000000000000000283366395,78345,25NOV2015,5000.00,5000.00,3480.52
00000000000000000168763457,84128,01OCT2012,86800.00,86800.00,77222.45
00000000000000000363466612,84128,19JAN2017,6000.00,6000.00,5991.86
00000000000000000018358686,85117,04JAN2002,81106.27,63106.27,54770.82
00000000000000000018880110,86806,13JUN2007,137500.00,132500.00,126573.06
00000000000000000116927272,91388,10FEB2011,145540.95,142140.95,85009.24
00000000000000000021158882,92647,12MAR2007,96000.00,96000.00,54082.16
00000000000000000277133538,100013,31MAR2016,0.00,0.00,0.00
00000000000000000359681364,100648,08SEP2016,13110.13,13110.13,12440.64
00000100000000001194995229,115302,06MAR2015,4210.70,4210.70,1524.01
00000000000000000018865496,116059,29SEP2006,120000.83,91159.83,97831.14
00000100000000000596231601,117182,27MAR2012,7510.49,7510.49,179.06
00000000000000000231578055,118006,19FEB2014,80000.00,80000.00,55880.38
00000100000000000597181352,118488,22MAR2017,9478.00,9478.00,9478.00
00000100000000001195254082,118488,10MAR2015,72000.00,72000.00,0.00
00000000000000000257117830,120804,22MAY2015,21718.34,21718.34,18236.16
00000000000000000355804759,120804,30JUN2016,0.00,0.00,0.00
00000000000000000361590279,120804,05OCT2016,0.00,459.96,157.90
00000000000000000366186438,120804,01DEC2016,0.00,385.95,261.10
00000000000000000368162220,120804,03JAN2017,0.00,310.22,260.42
00000000000000000370401708,120804,03FEB2017,0.00,275.15,275.15
00000000000000000372405871,120804,03MAR2017,0.00,163.90,163.90
00000000000000000020119421,122698,23JUN2006,180000.00,180000.00,39232.58
00000000000000000363896701,124973,02NOV2016,0.00,0.00,0.00
00000000000000000248195649,128071,05DEC2014,15675.00,15675.00,9527.73
00000000000000000064817729,131489,21DEC2009,92573.31,40573.31,29965.37
00000000000000000369994103,131489,30JAN2017,7300.00,7300.00,6843.88
