COD_PERSONA;COD_AREANEGO;COD_EDAD;COD_OFICIPAL;COD_SEGLOBAL;estado_cli
181405;13;54;8248;24;R
181431;13;66;1600;23;A
181714;6057;56;8248;24;I
181739;13;30;2430;35;A
181792;13;60;4080;23;A
181944;13;70;896;23;R
182378;6057;52;8248;24;I
182393;6057;72;9892;23;I
182472;6057;51;558;24;I
182672;58;30;2000;34;M
182754;52;30;777;80;M
182802;13;30;1004;81;M
182810;58;29;2328;34;M
183135;13;46;474;24;A
184067;13;55;424;24;A
184118;6057;55;507;24;I
184153;6057;48;9617;24;I
184276;13;76;1600;22;A
184323;6057;72;8248;23;I
184587;58;37;2328;34;A
185282;13;45;1168;24;A
185641;6057;55;9534;24;I
185931;13;55;7611;14;A
186265;13;58;2836;22;A
186284;13;31;6351;85;A
186311;13;72;6459;11;A
186539;1551;71;6458;11;I
186793;6057;52;2842;24;M
186944;6057;63;9981;23;I
186983;13;43;6536;14;A
187107;13;93;4772;21;A
187387;13;28;1223;80;M
187587;6057;49;403;24;I
187608;6057;75;9981;23;I
187648;13;67;403;14;A
188644;13;29;1539;25;A
189335;6057;56;6517;24;I
189819;6057;43;9465;24;I
189970;6057;53;8248;24;R
190135;13;70;689;23;A
190319;13;37;3660;35;A
190344;13;52;7385;24;A
190367;13;30;2364;34;R
190779;6057;33;5651;35;M
191284;13;45;5975;24;M
191922;13;41;1848;35;M
192064;6057;78;8380;23;A
192221;58;39;5589;34;A
192347;58;30;2343;35;M
192498;6057;72;9981;23;I
193133;6057;57;4093;35;M
193169;13;57;4914;34;M
193587;13;34;138;35;A
194245;13;40;4287;24;A
194472;6057;58;3188;24;I
195045;13;52;6050;24;A
195602;13;48;526;13;A
196281;13;29;1150;35;A
197101;13;65;6364;23;A
197108;13;28;120;81;M
197772;6057;51;9617;24;R
198084;13;69;5235;83;A
198532;13;50;937;14;A
198672;23;56;4899;31;A
198808;13;28;1060;35;A
198992;13;67;2372;34;I
199299;13;65;6170;83;A
199359;13;68;3660;23;A
199679;13;58;4170;35;A
199854;4747;58;5777;22;A
200041;13;31;1307;24;A
200308;6057;52;4932;24;I
200324;6057;51;5626;24;R
200488;4747;50;8101;24;A
200601;6057;39;8391;24;A
201056;6057;46;8248;24;I
201460;13;52;6241;87;A
201603;13;43;220;35;A
201970;8008;65;6459;11;R
202644;13;69;2900;23;I
202969;16;68;6054;23;A
203038;13;32;7518;89;M
203470;4747;69;6450;23;I
203478;13;22;1900;34;M
203970;13;28;2350;35;A
204010;6057;30;2420;24;I
204029;6057;50;8248;24;I
204053;13;45;2331;35;M
204658;58;23;6778;35;A
204737;13;60;2858;23;A
205215;6057;85;9622;23;I
205707;6057;44;8248;24;I
205909;13;29;5920;81;M
206366;58;41;8304;35;A
206450;13;70;7078;23;A
206865;6057;39;1353;24;I
206908;13;28;520;81;I
207133;13;84;5046;22;A
207324;6057;69;8248;23;I
207404;13;56;8752;24;A
207890;6687;18;2343;31;A
208174;13;20;1556;34;A
208554;6057;59;8248;23;I
208885;6057;45;8248;24;R
209128;13;18;5140;80;A
209591;6057;48;9613;24;I
209668;13;67;683;21;A
210387;13;46;104;22;A
210457;16;59;3022;23;A
210486;6057;48;8248;24;I
210644;16;63;2062;21;A
210705;13;64;6337;81;A
210746;13;51;2329;34;M
210867;13;64;661;14;A
211181;6057;70;513;23;M
211611;13;44;1487;82;A
211785;13;63;6855;23;A
212200;13;34;2734;83;M
212872;13;28;1286;25;A
212939;6057;49;8248;24;M
213475;6057;44;2341;34;M
213684;13;72;6460;23;A
213711;6057;65;9502;81;I
213713;6057;38;499;15;A
213882;6057;39;1874;35;A
213926;58;34;2343;34;A
213990;58;33;2332;34;M
214567;13;57;6330;21;A
214914;13;75;318;35;A
216585;6057;45;9613;24;I
217097;13;59;232;80;A
217732;13;50;7435;24;A
217764;6057;69;9981;23;I
218290;13;35;765;83;M
218622;13;40;358;24;A
219935;13;67;231;23;M
219985;13;41;5151;81;M
220381;13;53;639;35;A
220834;13;91;1149;23;A
221204;6057;50;9981;24;I
222100;13;52;5976;13;A
222150;16;45;6054;24;A
222539;13;29;5720;34;M
222549;13;36;3281;35;A
222681;6057;71;2213;14;I
222718;58;33;2354;34;M
223249;13;30;2930;83;R
223385;6057;66;1642;23;I
223487;6057;46;9478;85;A
223522;6057;40;9551;24;I
223526;6057;79;8248;23;I
223801;13;47;372;35;A
223982;13;62;2805;23;A
224673;58;51;2419;34;A
224827;6057;65;2666;23;I
224897;6057;60;9981;23;I
224955;6057;39;9981;81;I
224970;13;32;3278;35;A
226844;6057;48;8248;24;R
226870;13;54;6566;85;A
227024;13;68;2065;23;A
227176;13;27;5513;34;M
227522;6057;72;8248;23;I
227660;6057;63;8248;23;R
227873;6057;54;8248;24;I
227979;6057;62;683;81;M
229000;13;59;661;23;A
229194;6057;72;8248;23;I
229256;13;34;689;24;M
229444;13;38;4114;82;A
229841;6057;73;8248;23;I
229930;6057;83;8248;23;I
230169;6057;65;8248;23;I
230619;13;30;1444;86;M
231194;13;55;1149;22;A
231630;13;73;4001;23;I
231990;1552;31;2339;34;I
232071;13;40;3408;24;A
232619;13;94;4538;21;A
232629;6057;57;8248;24;I
233046;13;54;965;24;M
233167;13;29;462;35;A
233555;6057;50;3974;24;M
233994;13;51;5335;14;A
234215;6057;71;8248;23;I
234565;13;33;664;81;A
234834;6057;50;2754;83;I
234954;13;30;4960;83;A
235076;8004;36;6743;32;R
235311;13;27;6087;81;A
235744;58;46;2407;35;M
235950;58;53;2407;34;R
236058;6057;54;8248;24;I
236286;6057;39;8248;24;I
236523;13;58;3830;24;A
236531;13;59;1834;83;A
236766;13;50;4888;21;A
237037;6057;57;8248;24;I
237058;6057;64;8248;23;I
237987;13;56;6579;24;A
238584;13;58;4087;14;A
238983;6057;76;8248;23;I
239028;6057;61;9613;23;I
239865;13;87;4434;23;A
240097;6057;83;9981;23;I
240578;13;86;5310;23;A
240628;13;63;9981;23;A
241140;6057;67;8248;23;I
241802;6057;32;9981;24;I
242100;13;68;6410;23;A
242318;6057;71;8248;23;I
242436;6057;57;8248;81;I
242528;6057;36;9613;24;I
243254;13;45;2391;24;A
243467;16;58;6054;24;A
243557;6057;69;8248;23;I
244813;6057;58;8582;24;A
244950;6057;52;9622;24;I
245401;13;74;4208;21;A
245752;6057;49;8248;24;I
246075;13;63;2559;23;A
246111;13;47;2104;24;A
246144;6057;54;7028;24;I
246469;13;55;6046;24;A
246522;6057;45;8248;24;I
246593;6057;36;8248;24;I
246868;6057;41;8671;24;A
246975;13;50;8186;24;A
247370;13;77;2100;21;A
249303;13;32;3412;24;A
250215;13;23;5361;87;A
250569;6057;46;425;24;I
251393;13;40;2488;24;A
251867;6057;58;2884;24;R
252144;6057;47;9534;24;I
252156;6057;39;8248;24;I
252363;6057;45;9613;24;R
252632;6057;56;9613;24;R
252893;13;38;7014;24;A
253087;13;61;9617;23;I
255098;6057;50;8248;24;I
255547;6057;49;8248;24;I
255857;6057;54;2985;24;I
255973;13;61;8732;14;A
255992;6057;46;8649;83;A
256711;13;76;7547;23;A
257086;6057;44;8248;24;I
257171;13;67;120;23;M
257810;6057;58;2254;24;A
257924;13;69;951;23;A
258184;13;72;3219;14;A
258556;13;56;2898;24;A
258896;13;56;1600;24;A
259126;13;60;513;22;A
259759;13;21;2566;86;A
260217;13;66;881;14;A
260714;6057;87;9622;23;I
260740;13;67;4551;14;A
260997;13;34;5415;33;I
261005;6057;34;8248;24;I
261208;13;62;4206;23;A
261371;13;67;506;23;A
263383;6057;89;528;23;I
264783;6057;73;9981;23;I
265056;6057;43;9892;24;M
265463;13;42;3022;24;A
265734;6057;60;9981;23;I
265858;4747;44;5777;22;A
265980;16;37;2062;81;A
266002;6057;59;8248;23;I
266309;13;55;559;21;A
266353;13;51;2114;83;A
266651;13;44;7611;24;M
266843;13;81;1064;23;I
266987;6057;55;9473;24;A
267014;6057;62;8248;23;I
267053;6057;62;9549;23;A
267054;13;69;5726;22;A
268486;6057;77;9981;23;M
268607;13;39;846;87;A
268659;6687;45;5532;33;M
268737;13;69;3129;22;A
269229;6057;48;9622;24;I
269399;6057;49;4547;24;I
269607;6057;57;9622;24;I
269721;6057;60;9981;23;I
269764;13;51;9465;14;A
270136;6057;60;8248;23;I
270248;6057;73;7710;21;I
270384;13;52;3498;22;A
270504;6057;55;190;22;I
270664;13;53;6517;24;A
271484;13;48;1973;14;A
271571;13;35;9465;24;A
272144;6057;65;9981;23;I
272179;13;33;674;83;A
272545;13;50;6925;24;A
273752;6057;51;9613;24;R
273805;13;53;5886;81;A
273943;13;59;6562;21;A
274624;13;50;3348;24;A
275749;13;68;725;21;A
275811;13;75;483;23;M
275962;13;23;2945;25;A
276102;13;82;295;83;M
276191;6057;41;9892;24;A
276906;6057;50;9981;87;I
276935;8008;30;2329;33;I
277010;6057;54;8564;24;A
277162;6057;54;9981;24;I
277769;13;74;488;23;A
278523;13;45;276;87;A
278743;6057;79;9981;23;I
279204;13;50;5899;21;A
279444;23;34;3999;31;M
279749;58;51;5818;24;R
279883;6057;60;9981;23;I
279985;4747;69;8666;21;A
280240;6057;64;6853;23;I
281053;6057;80;508;23;I
281075;13;53;4469;81;M
281122;6057;56;4013;24;I
281404;13;52;3311;24;A
281559;13;75;4014;23;M
281562;6057;67;8248;23;I
281788;6057;67;9981;23;I
282353;6057;53;4905;22;I
282382;6057;51;8248;24;I
282703;6057;42;9981;87;I
282837;6057;66;9613;23;R
282994;13;43;4274;24;A
283094;13;36;894;24;A
283161;6057;61;8248;23;I
283429;6057;42;9981;24;I
283673;13;31;3474;24;A
283890;6057;40;9613;24;I
283939;6057;55;5020;24;I
284247;13;84;2408;22;A
284745;13;76;1150;23;A
284780;13;58;5884;88;A
285074;6057;47;4058;15;I
285828;13;46;231;24;A
286179;13;54;4106;24;A
286434;13;56;813;24;A
286446;13;69;973;23;A
287024;13;40;4890;24;A
288226;13;86;250;23;A
288419;6057;47;6054;24;I
288555;13;79;116;23;A
288885;13;28;7609;25;A
288939;13;87;119;23;A
288988;6057;58;2748;22;I
289757;6057;72;2294;21;I
289903;13;65;5830;23;A
290349;6057;45;1973;14;R
290404;6057;64;9981;23;I
